Unit,Year,Directly Aligned,Stepping Stone,Pays the Bills,N
College Park Scholars,2016,61.0,34.0,95.0,288.0
College of Agriculture and Natural Resources,2016,42.0,49.0,95.0,71.0
College of Arts and Humanities,2016,39.0,44.0,86.0,254.0
College of Behavioral and Social Sciences,2016,39.0,47.0,85.0,429.0
"College of Computer, Mathematical, and Natural Sciences",2016,57.0,34.0,93.0,315.0
College of Education,2016,93.0,6.0,98.0,54.0
Honors College,2016,59.0,38.0,98.0,317.0
Letters & Sciences,2016,48.0,41.0,89.0,635.0
Philip Merrill College of Journalism,2016,59.0,32.0,95.0,90.0
"School of Architecture, Planning and Preservation",2016,No Data,No Data,No Data,No Data
School of Public Health,2016,26.0,58.0,85.0,170.0
School of Public Policy,2016,No Data,No Data,No Data,No Data
The A. James Clark School of Engineering,2016,65.0,31.0,98.0,370.0
The Robert H. Smith School of Business,2016,66.0,32.0,99.0,431.0
University of Maryland - OVERALL,2016,52.0,39.0,92.0,2058.0
