Unit,Year,Employed FT N,Employed FT %,Employed PT N,Employed PT %,Continuing Edu N,Continuing Edu %,Volunteering N,Volunteering %,Military N,Military %,Business N,Business %,Unplaced N,Unplaced %,Unresolved N,Unresolved %,Total N,Not Seeking N,Placement Rate %
College Park Scholars,2015,344,61%,36,6%,128,23%,,,2,1%,3,1%,4,1%,32,6%,9,,94%
College of Agriculture and Natural Resources,2015,107,52%,9,4%,59,29%,,,0,0%,2,1%,0,0%,26,13%,8,,87%
College of Arts and Humanities,2015,510,60%,87,10%,182,21%,,,5,1%,7,1%,3,1%,37,4%,9,,95%
College of Behavioral and Social Sciences,2015,682,53%,102,8%,315,25%,,,13,1%,16,1%,26,2%,99,8%,9,,90%
College of Education,2015,113,73%,6,4%,30,19%,,,0,0%,0,0%,0,0%,2,1%,9,,99%
Honors College,2015,350,56%,23,4%,204,32%,,,5,1%,8,1%,1,1%,21,3%,9,,96%
Letters and Sciences,2015,3,62%,297,6%,1,21%,,,33,1%,47,1%,53,1%,377,7%,9,,92%
Philip Merrill College of Journalism,2015,101,72%,16,11%,8,6%,,,0,0%,1,1%,0,0%,13,9%,9,,91%
School of Public Health,2015,232,50%,35,8%,119,26%,,,1,1%,1,1%,14,3%,50,11%,8,,86%
The A. James Clark School of Engineering,2015,633,77%,9,1%,131,16%,,,12,1%,10,1%,5,1%,26,3%,9,,96%
The Robert H. Smith School of Business,2015,600,80%,20,3%,60,8%,,,2,1%,9,1%,1,1%,60,8%,9,,92%
College Park Scholars,2016,354,61%,34,6%,124,21%,,,3,1%,6,1%,1,0%,47,8%,9,,92%
College of Agriculture and Natural Resources,2016,115,48%,12,5%,70,29%,,,0,0%,4,2%,0,0%,28,12%,8,,88%
College of Arts and Humanities,2016,479,62%,58,7%,158,20%,,,2,0%,9,1%,1,0%,39,5%,9,,95%
College of Behavioral and Social Sciences,2016,737,56%,87,7%,313,24%,,,20,2%,3,0%,42,3%,77,6%,9,,91%
"College of Computer, Mathematical, and Natural Sciences",2016,453,53%,33,4%,275,32%,,,2,0%,5,1%,1,0%,71,8%,9,,92%
College of Education,2016,132,84%,3,2%,17,11%,,,0,0%,0,0%,0,0%,3,2%,9,,98%
Honors College,2016,463,59%,22,3%,241,31%,,,3,0%,4,1%,1,0%,26,3%,9,,97%
Letters and Sciences,2016,1,64%,85,5%,352,20%,,,8,0%,11,1%,25,1%,140,8%,9,,91%
Philip Merrill College of Journalism,2016,104,68%,16,10%,14,9%,,,1,1%,1,1%,1,1%,13,8%,9,,91%
School of Public Health,2016,172,37%,40,8%,191,41%,,,1,0%,4,1%,0,0%,53,11%,8,,89%
The A. James Clark School of Engineering,2016,720,77%,6,1%,146,16%,,,9,1%,14,1%,0,0%,39,4%,9,,96%
The Robert H. Smith School of Business,2016,704,79%,12,1%,74,8%,,,2,0%,12,1%,8,1%,69,8%,9,,91%
University-wide,2016,3,62%,259,5%,1,22%,,,37,1%,49,1%,49,1%,384,7%,9,,92%
College Park Scholars,2017,393,63%,30,5%,129,21%,,,6,1%,1,0%,6,1%,50,8%,9,,91%
College of Agriculture and Natural Resources,2017,114,51%,22,10%,70,31%,,,0,0%,3,1%,1,0%,10,4%,9,,95%
College of Arts and Humanities,2017,439,60%,68,9%,148,20%,,,4,1%,9,1%,3,0%,34,5%,9,,95%
College of Behavioral and Social Sciences,2017,751,54%,71,5%,369,27%,,,21,2%,12,1%,6,0%,108,8%,1,,92%
"College of Computer, Mathematical, and Natural Sciences",2017,491,55%,44,5%,277,31%,,,7,1%,5,1%,8,1%,57,6%,899,,93%
College of Education,2017,120,79%,4,3%,15,10%,,,0,0%,1,1%,1,1%,7,5%,9,,95%
Honors College,2017,423,59%,23,3%,218,30%,,,3,0%,4,1%,3,0%,28,4%,9,,96%
Letters and Sciences,2017,1063,60%,99,6%,382,22%,,,13,1%,19,1%,11,1%,143,8%,9,,91%
Philip Merrill College of Journalism,2017,121,73%,18,11%,11,7%,,,0,0%,3,2%,0,0%,9,5%,9,,95%
School of Public Health,2017,317,53%,41,7%,167,28%,,,1,0%,2,0%,1,0%,47,8%,9,,92%
The A. James Clark School of Engineering,2017,723,78%,5,1%,144,15%,,,14,2%,7,1%,6,1%,27,3%,931,,96%
The Robert H. Smith School of Business,2017,644,76%,7,1%,88,10%,,,0,0%,4,0%,9,1%,99,12%,8,,87%
University-wide,2017,3,62%,265,5%,1,22%,,,46,1%,45,1%,34,1%,414,7%,9,,92%
College Park Scholars,2018,393,64%,32,5%,140,22%,7,1%,4,1%,3,0%,5,1%,46,7%,630,,92%
College of Agriculture and Natural Resources,2018,92,52%,9,5%,53,30%,7,4%,1,1%,4,2%,0,0%,11,6%,177,,94%
College of Arts and Humanities,2018,513,70%,49,7%,122,17%,14,2%,6,1%,6,1%,6,1%,18,2%,734,6,97%
College of Behavioral and Social Sciences,2018,713,60%,56,5%,282,24%,24,2%,13,1%,6,1%,18,2%,67,6%,1,,93%
College of Education,2018,110,85%,1,1%,14,11%,2,2%,0,0%,0,0%,2,2%,1,1%,130,,98%
College of Information,2018,38,90%,0,0%,2,5%,0,0%,0,0%,0,0%,1,2%,1,2%,42,,95%
Honors College,2018,477,64%,15,2%,200,27%,13,2%,9,1%,1,0%,6,1%,18,2%,739,,97%
Letters and Sciences,2018,1,68%,69,4%,291,17%,17,1%,13,1%,6,0%,23,1%,130,7%,1,,91%
Philip Merrill College of Journalism,2018,91,68%,14,11%,11,8%,0,0%,0,0%,0,0%,0,0%,16,12%,133,,88%
